havenot2	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips
1	0.3867188096046448	0.375	0.38856250047683716	0.04404301196336746	0.29870128631591797	0.0416373535990715	0.6666666865348816	58	1	1	0	1	1	1	0.4000000059604645	6053
0	0.3867188096046448	0.25	0.38856250047683716	0.04404301196336746	0.29870128631591797	0.0416373535990715	0.3333333432674408	25	1	1	0	0	0.75	0.5	0.20000000298023224	6053
0	0.3867188096046448	0.75	0.38856250047683716	0.04404301196336746	0.29870128631591797	0.0416373535990715	0.6666666865348816	57	0	1	0	1	0.25	0.25	0.6000000238418579	6053
0	0.4687500596046448	0.75	0.4767220914363861	0.030094195157289505	0.31168827414512634	0.013618316501379013	1	65	0	1	0	0	0.25	0.5	0.800000011920929	6055
0	0.3359375	0.25	0.3652139902114868	0.006031102035194635	0.49350643157958984	0.009942524135112762	0.3333333432674408	70	0	1	1	0	0.25	0.5	0.20000000298023224	6057
	0.4375	0.875	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	0.8333333134651184	46	1	1	0	0	1	0.75	1	6059
0	0.4375	0.625	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	0.6666666865348816	65	1	1	0	0	0.75	0.75	0.6000000238418579	6059
0	0.4375	1	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	1	45	1	0	0	0	1	0.75	1	6059
0	0.4375	0.75	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	1	50	0	0	0	0	0.25	0.5	0.6000000238418579	6059
0	0.4375	1	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	0.5	70	0	1	1	0	1	0.75	0	6059
	0.4375	0.75	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	0.8333333134651184	56	1	1	0	0	0.5	0.25	0.4000000059604645	6059
1	0.4375	0.25	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	0.8333333134651184	26	1	0	0	0	0.25	0.25	0.20000000298023224	6059
0	0.4375	0.6642935276031494	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	0.8333333134651184	60	1	0	0	0	0.75	0.75	0.6000000238418579	6059
0	0.4375	0	0.5522517561912537	0.02235404960811138	0.58441561460495	0.30381518602371216	0.6666666865348816	32	0	0	0	0	0.25	0.25	0.800000011920929	6059
0	0.30859375	0.875	0.5533703565597534	0.01834055967628956	0.6233766078948975	0.034364890307188034	1	47	1	1	0	1	0.5	0.5	0.800000011920929	6061
1	0.30859375	0.25	0.5533703565597534	0.01834055967628956	0.6233766078948975	0.034364890307188034	0.8333333134651184	30	0	1	0	0	0.25	0.25	0.20000000298023224	6061
0	0.30859375	1	0.5533703565597534	0.01834055967628956	0.6233766078948975	0.034364890307188034	0.3333333432674408	20	1	1	0	0	1	0.75	0.800000011920929	6061
0	0.3749999701976776	0.375	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0.3333333432674408	59	1	0	0	0	0	0.25	0.800000011920929	6065
0	0.3749999701976776	0.625	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0.6666666865348816	44	1	0	0	1	1	0.75	0.6000000238418579	6065
0	0.3749999701976776	0.875	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0.5	50	1	0	0	0	1	0.75	0.4000000059604645	6065
1	0.3749999701976776	0.5	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0	54	0	0	0	1	0.25	0.75	0.800000011920929	6065
0	0.3749999701976776	0.6642935276031494	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0.8333333134651184	66	1	1	0	0	1	0.75	0	6065
0	0.3749999701976776	0.25	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0.3333333432674408	20	0	0	0	0	0	0.25	0.6000000238418579	6065
0	0.3749999701976776	0.375	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0.6666666865348816	62	0	1	0	0	1	0.5	0.800000011920929	6065
0	0.3749999701976776	1	0.372240275144577	0.08529354631900787	0.5584415197372437	0.2160777598619461	0.6666666865348816	48	1	1	0	0	0.75	0.25	0	6065
0	0.3320311903953552	0.586670994758606	0.35780763626098633	0.14018268883228302	0.44155845046043396	0.1428673267364502	0.6666666865348816	53	1	0	0	1	0.75	0.75	0.20000000298023224	6067
0	0.3320311903953552	0.875	0.35780763626098633	0.14018268883228302	0.44155845046043396	0.1428673267364502	0.6666666865348816	33	1	0	0	1	0.25	0.75	1	6067
0	0.3320311903953552	0.43142586946487427	0.35780763626098633	0.14018268883228302	0.44155845046043396	0.1428673267364502	0.3333333432674408	54	1	1	0	0	0.5	0.5	0	6067
1	0.3320311903953552	0.6642935276031494	0.35780763626098633	0.14018268883228302	0.44155845046043396	0.1428673267364502	0.8333333134651184	48	1	1	0	0	0	0	0	6067
