GEOID,B02001_003E,B02001_001E,SUMLEVEL,ST,COUNTY,B19080_001E,B19080_002E,B19080_003E,B19080_004E,B19080_005E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B19013_001E,B01003_001E,COMPONENT,B19083_001E
05000US05005,98,41468,050,05,005,17018,27886,41053,63936,112495,11093,22374,34469,51538,107839,188264,34534,41468,00,0.425
05000US05007,2918,209931,050,05,007,24101,40639,61152,94593,167558,14088,32442,50475,75481,161780,279245,50377,209931,00,0.438
05000US05009,141,36341,050,05,009,16814,30522,46452,70245,125847,9231,23691,37451,56159,118452,210170,36839,36341,00,0.444
05000US05011,3430,11967,050,05,011,11664,20140,35299,58327,110453,6727,16095,26558,46176,96793,162078,26207,11967,00,0.47
05000US05013,1210,5411,050,05,013,14755,27726,39467,60175,105339,8540,20791,32209,47879,94668,128619,32148,5411,00,0.414
05000US05015,95,27321,050,05,015,15932,26618,42226,70526,127073,8887,21420,33422,55439,116503,198092,32978,27321,00,0.456
05000US05017,6610,12279,050,05,017,9606,16328,29235,49452,104870,5744,12872,21247,37995,94743,167211,20543,12279,00,0.51
05000US05019,5187,23601,050,05,019,12015,23552,38765,69587,115699,6604,17902,31462,52517,107223,167832,31409,23601,00,0.467
05000US05021,27,16045,050,05,021,12821,22930,37093,59776,104258,7648,17381,29860,47656,107529,198410,29282,16045,00,0.476
05000US05023,173,25292,050,05,023,16162,28119,45843,71063,123976,10631,22499,36977,57022,119790,212395,36405,25292,00,0.444
05000US05025,1225,8640,050,05,025,14020,26572,46639,72294,127484,7205,20346,35195,57958,111566,173343,35063,8640,00,0.453
05000US05027,8890,24292,050,05,027,14661,26302,46122,75066,123497,8150,20233,35635,59129,126430,222097,35258,24292,00,0.477
05000US05029,2501,20619,050,05,029,12582,24353,42425,71622,119578,7488,18280,33460,56566,119635,207814,33554,20619,00,0.482
05000US05031,10102,91474,050,05,031,15517,30905,51484,79824,138502,9213,23224,40031,64407,133809,230343,39431,91474,00,0.463
05000US05033,812,58740,050,05,033,16350,30003,47813,72922,120564,10117,23521,38721,59212,115684,189522,38942,58740,00,0.429
05000US05035,25044,52199,050,05,035,13150,25646,43413,70894,136145,7025,19115,33256,55883,117086,181591,32323,52199,00,0.473
05000US05037,4561,18801,050,05,037,13579,29551,43414,72528,132128,8292,21340,35935,54739,111318,166632,36036,18801,00,0.44
05000US05039,3482,8214,050,05,039,11199,20131,36892,60649,115570,5669,15460,28064,47500,102178,173624,28233,8214,00,0.487
05000US05041,6465,13737,050,05,041,10638,20931,34609,60158,109606,6877,15692,27089,45463,100476,159285,27072,13737,00,0.476
05000US05043,5248,18699,050,05,043,13311,24929,41351,68878,123721,6373,19452,32518,54162,110852,162990,32061,18699,00,0.463
05000US05045,10847,104468,050,05,045,17742,35373,56297,88059,146489,9495,26515,44977,71510,141373,235642,44600,104468,00,0.452
05000US05047,46,18037,050,05,047,13137,23630,38563,69400,111055,8988,18582,31215,51523,105178,153314,30991,18037,00,0.444
05000US05049,0,11700,050,05,049,15209,25137,38785,61138,119658,9742,19820,31505,48624,95919,145651,30771,11700,00,0.418
05000US05051,7748,96285,050,05,051,16243,29471,45927,74202,139244,9581,22706,37000,57949,133008,242767,36454,96285,00,0.471
05000US05053,706,17544,050,05,053,25298,40031,61213,86230,129032,14608,32624,50981,71181,122337,181176,51238,17544,00,0.372
05000US05055,368,40190,050,05,055,14870,30804,45716,67987,103069,8375,22315,37865,55589,97199,143707,38012,40190,00,0.406
05000US05057,6719,23094,050,05,057,13942,27317,43271,68937,115418,7816,20180,35267,54032,104764,162771,35518,23094,00,0.438
05000US05059,3244,31621,050,05,059,16035,29162,45475,70088,110277,8847,23061,36598,55840,101841,148365,36095,31621,00,0.411
05000US05061,2986,14253,050,05,061,15580,25846,40958,67213,113854,9557,20583,33296,52267,130910,260302,33180,14253,00,0.49
05000US05063,896,34462,050,05,063,16990,28198,42568,69749,115151,9534,22550,35113,54461,115984,203601,34798,34462,00,0.446
05000US05065,218,13086,050,05,065,14123,25601,38803,61966,93613,8374,20112,32191,49677,92171,140598,32269,13086,00,0.416
05000US05067,3300,17038,050,05,067,13029,21602,36551,56942,107460,8025,17291,28821,45525,92997,143307,28680,17038,00,0.441
05000US05069,41336,79698,050,05,069,12955,27863,44431,73480,123974,7269,20202,35714,57395,114288,179729,35265,79698,00,0.458
05000US05071,390,24576,050,05,071,13847,24431,38809,56977,105449,8532,19025,30951,47812,91962,140278,30953,24576,00,0.421
05000US05073,2908,7715,050,05,073,11105,20065,37711,59829,107210,6494,15769,27401,47114,115026,215066,26491,7715,00,0.509
05000US05075,44,16912,050,05,075,12158,22105,37215,55835,98583,7482,16956,29190,46061,84467,130050,29119,16912,00,0.425
05000US05077,6140,10776,050,05,077,9034,19626,34292,54971,102617,5421,13453,26572,45979,90912,150266,26283,10776,00,0.48
05000US05079,4437,13753,050,05,079,13242,25710,39334,73648,123324,7736,18977,33711,57707,124060,220143,34876,13753,00,0.485
05000US05081,2811,12921,050,05,081,13881,25865,44144,73400,117895,9018,19922,33730,56792,103531,143278,32884,12921,00,0.429
05000US05083,235,22550,050,05,083,15021,27536,45772,71084,121324,8663,21074,35992,58068,112652,183448,35716,22550,00,0.444
05000US05085,4331,63424,050,05,085,22210,41781,60571,87611,138454,12788,31674,50227,72785,128549,191022,50295,63424,00,0.393
05000US05087,44,15478,050,05,087,15567,29786,47479,65108,110332,8606,22049,36979,56421,109847,181782,36667,15478,00,0.436
05000US05089,0,16581,050,05,089,15160,25297,41104,62458,113335,9510,20541,32541,50701,109647,191976,31772,16581,00,0.446
05000US05091,10162,42971,050,05,091,14957,29360,47662,72194,129097,8831,21558,38589,58466,115078,184865,39090,42971,00,0.441
05000US05093,15785,46778,050,05,093,13491,26326,40881,65429,121717,7803,20016,33255,52579,113453,197074,32940,46778,00,0.465
05000US05095,3364,8606,050,05,095,11009,23592,34506,57389,95145,6737,16869,29278,42977,92975,148232,29607,8606,00,0.451
05000US05097,0,9064,050,05,097,13917,29485,43164,71733,125189,8452,21421,36168,55603,130665,257054,36095,9064,00,0.484
05000US05099,2573,9324,050,05,099,11455,23917,45101,64857,108066,7036,17244,33712,55068,120889,245941,32969,9324,00,0.497
05000US05101,31,8311,050,05,101,12004,22056,38344,52390,86381,7735,16242,28431,44584,83987,138319,28166,8311,00,0.43
05000US05103,10359,26016,050,05,103,11854,22759,38510,60643,123393,7006,16962,30226,49186,103825,166003,30167,26016,00,0.467
05000US05105,256,10294,050,05,105,17268,36197,54893,79126,105432,10737,25749,45403,65207,103981,148541,44921,10294,00,0.381
05000US05107,13611,22002,050,05,107,10247,20821,32450,53390,100663,6312,15746,26271,42406,89891,137428,26336,22002,00,0.459
05000US05109,417,10763,050,05,109,14882,26826,41876,61777,116103,8696,19736,33526,51030,110885,192913,33024,10763,00,0.455
05000US05111,1826,24865,050,05,111,11738,24700,40340,60158,99639,7218,17815,32104,49386,93902,146621,31894,24865,00,0.438
